"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0500000US05149","Yell County, Arkansas","8323","189","5622","293","2701","290",
"0500000US06001","Alameda County, California","598246","1734","325509","3198","272737","2935",
"0500000US06003","Alpine County, California","435","74","340","66","95","44",
"0500000US06005","Amador County, California","16091","439","12941","527","3150","455",
"0500000US06007","Butte County, California","83312","819","47717","947","35595","1024",
"0500000US06009","Calaveras County, California","18437","647","15480","611","2957","444",
"0500000US06011","Colusa County, California","7512","369","4674","378","2838","382",
"0500000US06013","Contra Costa County, California","414417","1118","281819","2360","132598","2301",
"0500000US06015","Del Norte County, California","9522","317","6673","312","2849","316",
"0500000US06017","El Dorado County, California","76185","785","58844","973","17341","862",
"0500000US06019","Fresno County, California","324702","1025","180371","2255","144331","2578",
"0500000US06021","Glenn County, California","9810","287","6002","420","3808","405",
"0500000US06023","Humboldt County, California","54922","632","31053","881","23869","847",
"0500000US06025","Imperial County, California","49644","655","28210","1091","21434","1041",
"0500000US06027","Inyo County, California","8040","209","5339","272","2701","319",
"0500000US06029","Kern County, California","284931","1239","171133","2447","113798","2337",
"0500000US06031","Kings County, California","44052","410","23870","800","20182","865",
"0500000US06033","Lake County, California","26940","631","19441","830","7499","660",
"0500000US06035","Lassen County, California","9247","313","6305","356","2942","355",
"0500000US06037","Los Angeles County, California","3416449","5011","1567983","9447","1848466","7040",
"0500000US06039","Madera County, California","45379","608","30613","797","14766","790",
"0500000US06041","Marin County, California","103018","725","66616","1123","36402","1167",
"0500000US06043","Mariposa County, California","7508","301","5611","355","1897","291",
"0500000US06045","Mendocino County, California","34842","626","21500","739","13342","740",
"0500000US06047","Merced County, California","86055","548","46474","1205","39581","1183",
"0500000US06049","Modoc County, California","3267","180","2530","196","737","182",
"0500000US06051","Mono County, California","5744","379","3758","440","1986","364",
"0500000US06053","Monterey County, California","132489","685","68993","1365","63496","1278",
"0500000US06055","Napa County, California","49763","2617","31555","2370","18208","750",
"0500000US06057","Nevada County, California","42865","719","32342","821","10523","823",
"0500000US06059","Orange County, California","1082960","2606","610659","4388","472301","4148",
"0500000US06061","Placer County, California","157954","803","118103","1417","39851","1360",
"0500000US06063","Plumas County, California","8054","342","6006","395","2048","347",
"0500000US06065","Riverside County, California","775335","2121","535986","3538","239349","3349",
"0500000US06067","Sacramento County, California","571057","1538","337066","3621","233991","3709",
"0500000US06069","San Benito County, California","20561","201","13970","488","6591","492",
"0500000US06071","San Bernardino County, California","674915","1558","418836","3452","256079","3279",
"0500000US06073","San Diego County, California","1171278","2902","639138","4528","532140","3919",
